appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
24293,UFO: Afterlight,2014-01-06,1,Altar Games,Bohemia Interactive,windows,0,Single-player;Captions available,Indie;Strategy,Strategy;Tactical;Sci-fi,0,210,140,2380,2380,200000-500000,4.99
24294,UFO: Aftermath,2014-04-23,1,Altar Interactive,1C Entertainment,windows,0,Single-player;Steam Cloud,Strategy,Strategy;Tactical;Aliens,0,100,32,0,0,50000-100000,2.79
24295,UFO: Aftershock,2014-04-16,1,ALTAR Interactive,1C Entertainment,windows,0,Single-player;Steam Cloud,Strategy,Strategy;Tactical;Sci-fi,0,72,31,0,0,50000-100000,2.79
24296,UFO: Extraterrestrials Gold,2010-02-17,1,Chaos Concept,ND Games,windows,0,Single-player,Strategy,Strategy;Turn-Based;Tactical,0,122,43,0,0,100000-200000,9.99
24297,UfoPilot : Astro-Creeps Elite,2015-05-05,1,nornware AB,nornware AB,windows,0,Single-player;Partial Controller Support;Steam Leaderboards,Action;Indie,Action;Indie,0,2,1,0,0,0-20000,3.99
24298,Uizuno Blade VR,2017-12-26,1,Simon Bissonnette;Raphaële Halimi,Uizuno,windows,0,Single-player,Action;Early Access,Early Access;Action;VR,11,2,3,0,0,0-20000,3.99
24299,Ukhar,2018-03-14,1,Le Faucheur Kevin,Le Faucheur Kevin,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,10,16,2,0,0,0-20000,0.79
24300,Ukrainian ball in search of gas,2017-12-08,1,"Nikita ""Ghost_RUS""",Ghost_RUS Games,windows,0,Single-player,Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,0,45,13,0,0,0-20000,0.79
24301,Ukrainian Ninja,2014-12-23,1,Michael Kissinger;Marco Hulden;Shaun Egan;Joshua Marks;Denys Ovsiannykov,Dragon Fire Games Inc,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,12,102,97,55,55,20000-50000,0.0
24302,Ulama: Arena of the Gods,2017-03-28,1,Trainwreck Games,Trainwreck Games,windows,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support,Action;Indie;Sports;Early Access,Early Access;Action;Indie,0,6,0,0,0,0-20000,3.99
24303,Ultimagus,2017-02-10,1,Zealwind,Zealwind,windows,0,Single-player,Action;Indie,Indie;Action;Casual,0,5,0,0,0,0-20000,2.79
24304,Ultimate Arena,2016-08-22,1,Triverske,Triverske,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Includes level editor,Simulation,Simulation;Memes;Funny,20,715,159,280,299,50000-100000,3.99
24305,Ultimate Arena,2016-09-05,1,Kenneth Caselli;Gianmarco Rocco,AceGamer Network,windows;linux,0,Multi-player;Online Multi-Player;Steam Achievements;In-App Purchases;Steam Cloud,Action;Indie,Action;Indie;FPS,1,123,100,0,0,0-20000,13.99
24306,ULTIMATE ARENA: SHOWDOWN,2018-02-23,1,Triverske,Triverske,windows,0,Single-player,Casual;Simulation;Early Access,Early Access;Casual;Simulation,0,5,8,0,0,0-20000,3.99
24307,Ultimate Booster Experience,2016-07-14,1,GexagonVR,GexagonVR,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure;Casual;Simulation,Simulation;VR;Action,9,204,53,44,44,0-20000,3.99
24308,Ultimate Chicken Horse,2016-03-04,1,Clever Endeavour Games,Clever Endeavour Games,windows;mac;linux,0,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Multiplayer;Funny;Local Multiplayer,31,7908,451,622,658,500000-1000000,10.99
24309,Ultimate Coaster X,2019-03-10,1,Phony Game Studios,Phony Game Studios,windows,0,Single-player,Simulation;Early Access,Early Access;Simulation,0,28,5,0,0,0-20000,0.0
24310,Ultimate Custom Night,2018-06-27,1,Scott Cawthon,Scott Cawthon,windows,0,Single-player,Action;Free to Play;Indie,Free to Play;Horror;Difficult,0,7723,429,128,80,500000-1000000,0.0
24311,Ultimate Desktop Character Engine,2018-11-27,1,elfinik,elfinikGames,windows,0,Steam Workshop;Steam Cloud,Animation & Modeling;Design & Illustration;Utilities;Early Access,Early Access;Utilities;Animation & Modeling,0,35,20,0,0,0-20000,2.09
24312,Ultimate Doom,2007-08-03,1,id Software,id Software,windows,0,Single-player;Steam Cloud,Action,Classic;FPS;Action,0,3705,257,125,179,500000-1000000,3.99
24313,Ultimate Epic Battle Simulator,2017-06-01,1,Brilliant Game Studios,Brilliant Game Studios,windows,0,Single-player,Violent;Gore;Action;Adventure;Indie;Simulation;Strategy,Simulation;Sandbox;War,0,2813,1349,677,677,200000-500000,11.39
24314,Ultimate Fishing Simulator,2018-08-30,1,Bit Golem,Ultimate Games S.A.;PlayWay S.A.,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Simulation;Sports,Simulation;Fishing;Sports,63,1110,207,99,99,50000-100000,14.99
24315,Ultimate General: Civil War,2017-07-14,1,Game-Labs,Game-Labs,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation;Strategy,Strategy;War;Historical,39,2461,407,0,0,100000-200000,22.99
24316,Ultimate General: Gettysburg,2014-10-16,1,Game-Labs,Game-Labs,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards,Indie;Simulation;Strategy,Strategy;Historical;Simulation,3,1896,424,106,159,200000-500000,10.99
24317,ULTIMATE HARDBASS DEFENCE,2019-04-12,1,Magnolia Art,Magnolia Art,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Trading Cards;Captions available,Action;Indie;Massively Multiplayer,Sexual Content;Nudity;Action,32,680,65,0,0,20000-50000,1.69
24318,Ultimate Legends,2018-12-24,1,TheoNeo Games,TheoNeo Games,windows;mac,0,Single-player,Adventure;Indie;RPG,Adventure;RPG;Indie,0,0,1,0,0,0-20000,1.69
24319,Ultimate Logic Puzzle Collection,2019-02-28,1,Stanley Lam,Stanley Lam,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Free to Play;Indie,Free to Play;Casual;Indie,100,10,4,0,0,0-20000,0.0
24320,ULTIMATE MARVEL VS. CAPCOM 3,2017-03-06,1,"CAPCOM CO., LTD.","CAPCOM U.S.A., INC.",windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Fighting;Action;2D Fighter,47,1386,201,54,54,100000-200000,19.99
24321,Ultimate Panic Flight,2018-03-05,1,DEVALLEY STUDIO,DEVALLEY STUDIO;Plug In Digital,windows,0,Single-player;Full controller support,Action;Casual,Action;Casual,0,1,0,0,0,0-20000,5.19
24322,Ultimate Racing 2D,2018-05-24,1,Applimazing,Applimazing,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Cloud,Indie;Racing;Simulation;Sports,Racing;Simulation;Sports,0,100,12,0,0,0-20000,6.99
24323,Ultimate Rock Crawler,2016-01-25,1,khos85,khos85,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Includes level editor,Indie;Racing;Simulation;Sports,Sports;Indie;Simulation,4,7,19,0,0,0-20000,0.79
24324,Ultimate Russian Zombie Rush,2017-02-10,1,"Mahhaon Horror, Sun Pixel",AYE Technology,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Casual;Violent,0,36,30,237,255,20000-50000,2.79
24325,Ultimate Select Hero / 究极勇者的选择传说,2018-05-02,0,nitopu,Pujia8 Studio,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Free to Play;Indie;RPG,Adventure;RPG;Indie,40,43,6,0,0,0-20000,1.69
24326,Ultimate Solid,2016-10-26,1,What The Fantastic Games Group,What The Fantastic Games Group,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,10,15,5,217,217,0-20000,0.79
24327,Ultimate Space Commando,2015-05-12,1,Creatio 49,Angry Cat Ltd.,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy,Strategy;RPG;Indie,0,30,5,0,0,20000-50000,6.99
24328,Ultimate Spider Hero,2018-01-26,1,For Kids,For Kids,windows;mac;linux,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,3600,29,14,0,0,20000-50000,1.69
24329,Ultimate Spinner Simulator - Unstress Yourself,2017-10-27,1,OnFire Games,OnFire Games,windows,0,Single-player,Casual,Casual,0,20,9,0,0,0-20000,0.79
24330,Ultimate Sudoku Collection,2018-05-18,1,Stanley Lam,Stanley Lam,windows;mac,0,Single-player;Steam Achievements,Casual;Free to Play;Indie,Free to Play;Indie;Casual,72,31,14,91,91,20000-50000,0.0
